-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
## Call CompiledFxGraph ftyssnehntynueijjpv4kuhssqut...         0.44%     181.606ms         0.75%     310.601ms     323.543us       0.000us         0.00%     634.012ms     660.429us           960  
## Call CompiledFxGraph f25v7jwuvyzkbdcdom2tokznj2yz...         0.41%     167.428ms         0.67%     275.292ms     245.796us       0.000us         0.00%        1.316s       1.175ms          1120  
                             Torch-Compiled Region: 4/0         0.19%      78.065ms         0.59%     241.588ms     251.654us       0.000us         0.00%     409.347ms     426.403us           960  
## Call CompiledFxGraph fj7s2hbbdzuac4zgfma6sy2z2r7l...         0.33%     137.899ms         0.57%     234.180ms       2.927ms       0.000us         0.00%        1.098s      13.721ms            80  
autograd::engine::evaluate_function: CausalConv1dFnB...         0.02%      10.006ms         0.57%     233.772ms     243.512us       0.000us         0.00%        1.831s       1.907ms           960  
                                 CausalConv1dFnBackward         0.17%      70.965ms         0.54%     223.766ms     233.090us       0.000us         0.00%        1.831s       1.907ms           960  
## Call CompiledFxGraph f6q6tl5nmhsxkdwtnypkqjxl77kt...         0.33%     136.541ms         0.53%     217.788ms     226.863us       0.000us         0.00%     186.391ms     194.157us           960  
                             Torch-Compiled Region: 8/1         0.05%      18.990ms         0.52%     215.647ms       2.696ms       0.000us         0.00%     706.289ms       8.829ms            80  
## Call CompiledFxGraph fkjbjyjmsaltxpshse7z7m3ojsi7...         0.31%     126.618ms         0.52%     215.566ms       2.695ms       0.000us         0.00%        1.170s      14.620ms            80  
                             Torch-Compiled Region: 8/0         0.04%      18.273ms         0.51%     209.943ms       2.624ms       0.000us         0.00%     672.562ms       8.407ms            80  
                                  hipModuleLaunchKernel         0.46%     189.470ms         0.46%     189.470ms       6.299us       0.000us         0.00%       0.000us       0.000us         30080  
                                               aten::mv         0.10%      39.877ms         0.42%     173.112ms      10.991us       0.000us         0.00%     260.575ms      16.544us         15750  
